TPT001_018ADCP018R00_20070109.40.2,TPT001_018ADCP018R00_20070109.50
SWC001_022ADCP021R00_20010117.40.2,SWC001_022ADCP021R00_20010117.50
SR15CX_015ADCP014R00_20030519.40.2,SR15CX_015ADCP014R00_20030519.50
SCPXXX_015ADCP015R00_20041220.40.2,SCPXXX_015ADCP015R00_20041220.50
ARGXXX_015ADCP015R00_20010522.40.2,ARGXXX_015ADCP015R00_20010522.50
PTSXXX_015ADCP015R00_20001205.40.2,PTSXXX_015ADCP015R00_20001205.50
SR15CX_015ADCP014R00_20020515.40.2,SR15CX_015ADCP014R00_20020515.50
HMS001_020ADCP019R00_20000601.40.2,HMS001_020ADCP019R00_20000601.50
SWC001_022ADCP021R00_20030729.40.2,SWC001_022ADCP021R00_20030729.50
LB15CX_015ADCP014R00_20050812.40.2,LB15CX_015ADCP014R00_20050812.50
PTSXXX_015ADCP015R00_20040212.40.2,PTSXXX_015ADCP015R00_20040212.50
SHB001_021ADCP020R00_20011026.40.2,SHB001_021ADCP020R00_20011026.50
SWC001_022ADCP021R00_20020517.40.2,SWC001_022ADCP021R00_20020517.50
TPT001_018ADCP018R00_20050110.40.2,TPT001_018ADCP018R00_20050110.50
YB15CX_015ADCP014R00_20050608.40.2,YB15CX_015ADCP014R00_20050608.50
HMS001_020ADCP019R00_20020829.40.2,HMS001_020ADCP019R00_20020829.50
HMS001_020ADCP019R00_20020529.40.2,HMS001_020ADCP019R00_20020529.50
ARGXXX_015ADCP015R00_20070305.40.2,ARGXXX_015ADCP015R00_20070305.50
MORXXX_015ADCP015R00_20051208.40.2,MORXXX_015ADCP015R00_20051208.50
SCPXXX_015ADCP015R00_20050831.40.2,SCPXXX_015ADCP015R00_20050831.50
JALXXX_015ADCP015R00_20040526.40.2,JALXXX_015ADCP015R00_20040526.50
ARGXXX_015ADCP015R00_20030312.40.2,ARGXXX_015ADCP015R00_20030312.50
SH15CX_015ADCP014R00_20050811.40.2,SH15CX_015ADCP014R00_20050811.50
PTSXXX_015ADCP015R00_20070802.40.2,PTSXXX_015ADCP015R00_20070802.50
ALEXXX_015ADCP015R00_20060331.40.2,ALEXXX_015ADCP015R00_20060331.50
SHB001_021ADCP020R00_20020115.40.2,SHB001_021ADCP020R00_20020115.50
PELXXX_015ADCP015R00_20040713.40.3,PELXXX_015ADCP015R00_20040713.50
TPT001_018ADCP018R00_20011109.40.2,TPT001_018ADCP018R00_20011109.50
SHB001_021ADCP020R00_20020705.40.2,SHB001_021ADCP020R00_20020705.50
ALEXXX_015ADCP015R00_20050906.40.2,ALEXXX_015ADCP015R00_20050906.50
PROXXX_015ADCP015R00_20060313.40.2,PROXXX_015ADCP015R00_20060313.50
SCPXXX_015ADCP015R00_20071127.40.2,SCPXXX_015ADCP015R00_20071127.50
SHB001_021ADCP020R00_20050401.40.2,SHB001_021ADCP020R00_20050401.50
SH15CX_015ADCP014R00_20030716.40.2,SH15CX_015ADCP014R00_20030716.50
TPT001_018ADCP018R00_20050712.40.2,TPT001_018ADCP018R00_20050712.50
HMS001_020ADCP019R00_20041008.40.2,HMS001_020ADCP019R00_20041008.50
JALXXX_015ADCP015R00_20010215.40.2,JALXXX_015ADCP015R00_20010215.50
ARGXXX_015ADCP015R00_20050727.40.2,ARGXXX_015ADCP015R00_20050727.50
PURXXX_015ADCP015R00_20010511.40.2,PURXXX_015ADCP015R00_20010511.50
SHB001_021ADCP020R00_20050625.40.2,SHB001_021ADCP020R00_20050625.50
PTSXXX_015ADCP015R00_20010802.40.2,PTSXXX_015ADCP015R00_20010802.50
PTSXXX_015ADCP015R00_20031112.40.2,PTSXXX_015ADCP015R00_20031112.50
